Temp,H,CO_2,Rsun,Tout,Hout,CO2out,Vwind,CO2dos,Lamp,LS,ES,WL,WW,Tp
26.15,69.212,1008.5,518.9,18.2,64.5,487.7,5.3,1280.6,0,0,0,17.55,17.55,30.375
26.387,69.25,911,511.9,19,63.7,493.2,5.3,1194.2,0,0,0,17.337,5.25,30.6
23.15,70.588,850,167.1,18.4,65.1,440.1,4.7,1283.5,66.7,0,0,62.15,5.1375,37.925
23.45,73.888,791,103.1,18.1,71.8,442.6,3.3,703.9,66.7,0,0,74.35,4.825,35.975
22.425,77.225,815.5,45.3,17.6,73.6,434.5,3.4,318,66.7,0,0,48.075,1.9875,38.3
20.3,78.175,522.5,1.3,17,78.5,414.4,2.8,0,0,0,0,97.338,2,40.15
17.875,83.338,465.5,0.5,16,85.2,418.1,2.4,0,0,0,0,63.225,3.3625,41.75
17.988,84.938,482,0.5,15.5,88.9,419.3,1.5,0,0,0,0,71.013,9.425,43.275
18.1,84.963,476,0.5,15.3,90.7,424.8,0.8,0,33.3,0,70,73.55,12.875,40.675
19.325,78.4,421,0.2,16.7,84.6,409.5,2.4,0,66.7,0,52.8,99.3,55.613,41
19.3,77.263,538.5,0.2,16.2,85.9,415.6,3.7,637.1,100,0,30,100,23.287,40.4
19.825,77.363,555,0.4,16.2,88.9,421.7,4.2,491.2,100,0,30,98.5,23.25,40.4
20.162,77.763,598.5,0.3,16.2,87.7,422.3,4.6,585.2,100,0,30,98.2,15.363,40.275
20.013,76.95,557,0.2,16.2,85.6,434.5,4,596.3,100,0,30,96,7.85,40.1
20.313,78.8,710,0.4,15.5,88.7,441.3,3,698.9,100,0,30,100,3.725,41.775
20.625,79.225,706,0.4,15,89.3,449.9,3.7,703.4,100,0,30,53.587,4.45,41.2
20.625,80.075,783,0.4,14.7,91.1,454.8,3,691.4,100,0,0,27.825,2.175,41.825
20.738,79.625,929.5,3.7,14.4,91.7,418.1,3.4,706.4,66.7,0,0,23.737,2.025,41.75
22.713,82.463,1127,32.3,14.2,92.3,420.5,4.5,264.1,100,0,0,3.9875,0,45.325
21.325,81.125,1218,43.3,14.5,90.5,432.1,4.5,854.7,66.7,0,0,4.0875,0,42.85
21.9,77.95,962,163,15.3,86.9,408.3,5.3,1222.7,66.7,0,0,36.487,1.9875,42.025
22.675,72.4,923.5,271.8,16.5,78.3,419.9,5.2,641.5,33.3,0,0,70.15,2.025,38.55
21.262,76.7,891,123.6,16.2,79.9,416.2,5.8,1244.2,66.7,0,0,30.8,2.0875,41.7
21.375,76.987,991,131.7,15.7,81.8,438.3,6.3,1304.4,66.7,0,0,3.9,0,41.475
21.288,74.813,846.5,110.1,16.5,77.3,446.8,5.8,1394.8,66.7,0,0,35.413,2.05,40.725
23.037,78.787,1035.5,108.4,15.1,90.3,442.6,5.7,485.1,66.7,0,0,75.95,1.9625,41.525
22.725,82.488,1151,27.3,14.6,93.4,433.3,3.7,0,100,0,0,4.0875,0.1,43.55
21.762,76.7,914,27.2,15.4,84.4,444.4,4.6,910.7,100,0,0,34.025,1.775,38.4
21.038,78.3,671,7.6,15,86.6,447.4,4.8,276.3,100,0,0,27.287,1.925,39.5
19.2,79.263,471.5,0.4,15.3,81.8,429.7,5.3,0,0,0,0,22.1,2.025,41.275
17.325,82.087,441.5,0.2,14.8,83,416.8,4.3,0,0,0,0,21.525,2.0125,39
17.137,86.337,470,0.4,14.3,84.4,420.5,3.3,0,0,0,0,14.325,1.9625,44.125
18.462,82.813,425,0.2,14.5,85.6,413.8,3.8,0,100,0,70,78.888,17.288,44.05
21.9,81.588,804,0.2,13.6,88.3,421.1,4.8,0,66.7,0,54.8,9.4,2.3125,43.2
22.137,81.063,1012.5,0.3,12.1,88.9,432.1,4.4,0,100,0,30,4.0875,0,42.625
21.988,77.85,974,0.2,11.7,91.3,422.3,2.2,60.8,100,0,30,76.575,69.75,41.8
17.988,77.2,643,0.3,11.3,92,419.9,2.7,639.4,100,0,30,34.825,12.2,43.35
18.287,77.638,653,0.3,11.6,92,426,3.1,646.7,100,0,30,38.712,12.475,42.625
18.913,79.438,746.5,0.4,11.7,93.2,430.9,2.2,482.8,100,0,30,34.388,11.138,46.475
20.013,80.738,978.5,0.4,11.9,94.4,421.1,2.3,542.5,100,0,30,25.1,7.625,46.525
20.412,79.775,1000.5,0.4,12.1,90.5,420.5,3.3,858.5,100,0,14.267,17.512,3.5625,45.8
21.95,82.063,1094,17.4,10.9,90.5,424.8,2.5,107.1,66.7,0,0,4,0,46.35
21.5,77.475,879,136.1,11.8,89.9,437.7,2.5,1124.7,66.7,0,0,2.625,0,47.6
21.988,75.937,1041.5,258,12.7,82.2,436.4,3.4,1284.7,33.3,0,0,34.388,1.9625,42.9
22.625,71.838,885,432.6,12.8,76.9,434.5,4.7,1235.7,0,0,0,1.0875,0.1125,38.775
24.1,69.287,1002.5,534.9,13.9,75.9,433.3,4.8,1349.4,0,0,0,70.1,2.675,33.275
22.225,70.875,789,436.6,13.6,74.9,441.3,5.7,1136.1,0,0,0,43.413,2.05,38.7
22.113,82.112,1112.5,99.4,11.6,92.1,438.3,2.7,53.5,66.7,0,0,4.025,0.1125,44.9
26.837,80.2,1139.5,377.5,13.9,85.2,437,2.8,224,33.3,0,0,3.9875,3.9875,42.225
22.588,77.125,1147.5,228.7,15,72.6,436.4,3.8,430.5,66.7,0,0,35.513,35.513,43.325
23.963,73.7,907,339.3,15.5,68.7,429.1,3.1,1232.8,33.3,0,0,84.5,2.2125,40.675
22.862,68.125,852.5,294.2,15.9,64.1,435.2,3.5,860.5,33.3,0,0,70.7,2.125,37.075
21.113,75.9,773,101.1,14.9,69.2,424.8,2.6,370,66.7,0,0,33.025,1.8875,41.475
19.1,79.112,563.5,2.6,13.8,73.7,430.9,1.9,0,0,0,0,31.938,1.8625,44.525
17.325,79.8,490.5,0.3,12.4,74.4,432.7,2.2,0,0,0,0,20.975,2.95,42.225
17.038,82.45,484,0.3,11.3,83.2,450.5,1.1,0,0,0,0,8,6.525,42.475
18.113,79.875,433,0.3,11.1,88.3,418.1,1.6,595.2,100,0,70,41.862,14.95,41.675
18.05,75.875,506.5,0.2,11.2,92.1,404,1.7,0,100,0,54.067,42.95,14.5,42.8
17.9,77.188,699.5,0.3,10.7,93.4,411.3,1.5,538.4,100,0,30,30.65,11.45,42.9
18.162,77.188,734,0.2,11.1,94.6,409.5,1.3,536.5,100,0,30,44.775,15.013,42.275
18.063,77.463,779,0.2,10.8,95.2,425.4,1.5,598.2,100,0,30,32.7,11.85,42.45
18.1,76.45,708,0.3,11.3,95.8,436.4,1.4,587.5,100,0,30,46.55,15.913,44.425
18.175,76.775,720,0.4,10.9,96.4,423.6,1.2,690.3,100,0,30,12.013,12.088,44.475
19.688,81.363,972.5,0.4,10.8,97,443.8,1.3,222.6,100,0,30,15.55,15.55,47.225
20.125,83.275,1058,0.3,11.1,95.8,438.3,1.3,0,83.35,0,30,10.175,4.75,47.875
20.875,80.75,1068,20.7,11.4,94.6,452.9,1.7,270.7,100,0,16.667,17.8,2.1,46.625
22.213,77.838,1090,103.7,13.1,89.5,447.4,2.6,268.6,100,0,16.667,43.337,4.0375,47.725
22.938,74.388,1023,318.6,15.1,78.1,441.3,3,1346.6,0,0,16.667,68.2,2.6375,40.975
23.262,73.325,984.5,443.2,15.7,71.4,447.4,4.6,1237,0,0,16.667,60.463,1.9875,39.2
23.85,70.65,895,495,16.3,69.2,457.8,5.2,1295.5,0,0,16.667,76.762,76.762,35.725
24,67.563,872.5,506.8,16.2,67.5,461.5,5.2,1293.8,0,0,16.667,86.55,2.3875,33
24.963,60,826,550.8,16.1,65.7,449.3,5.5,1392.3,0,0,16.667,92.862,4.025,30.05
24.175,64.337,925,445.6,16.3,65.7,480.4,5,1132.4,0,0,0,83.313,2.925,34.4
22.2,64.15,714,349.7,16.2,66.1,487.1,5.3,1398,0,0,16.667,63.525,63.525,35.95
21.775,68.775,799.5,281.4,16.1,69.2,460.3,4.7,1188.7,33.3,0,0,45.925,2.2125,39.4
21.675,68.85,793,227.1,16.1,71,446.2,4.6,812,33.3,0,0,48.862,1.9625,37.175
21.125,76.825,695.5,102.8,15.5,74.8,412,4.1,324.6,66.7,0,0,33.138,2.075,42.05
20.85,79.675,474,2.1,14.6,78.1,416.8,2.9,0,66.7,0,90,90.65,1.95,44.05
18.725,77.575,553.5,0.2,14.2,81.2,412,2,429.5,41.65,0,90,80.175,20,43.975
18.363,76.862,520.5,0.4,13.8,84.8,427.2,2.1,371.2,66.7,0,90,70.9,21.975,43.3
18.55,77.737,417,0.3,13.9,86,415,2.6,0,66.7,0,90,78.525,33.213,44.175
17.637,77.537,429,0.3,13.8,83,404.6,3.1,0,0,0,28.367,43.262,20,42.225
17.262,81.412,447,0.4,13.6,84.8,420.5,3.6,0,0,0,30,12.25,7.375,41.225
17.225,82.138,455,0.4,13.2,88.5,432.1,3.6,0,0,0,30,13.438,6.45,41.45
17.412,82.125,455,0.4,12.9,91.6,422.9,3.5,0,33.3,0,30,18.725,8.0125,41.125
18.387,77.8,417,0.2,13.3,93.4,440.7,3.5,0,100,0,30,49.475,16.3,41.775
19.063,78.975,476,0.3,13.9,92.8,463.9,3.9,0,100,0,30,52.375,15.725,44.875
20.1,79.938,510,0.4,14.5,92.8,441.3,3.9,0,100,0,30,39.938,10.012,46.725
20.575,81.125,498,0.3,14.6,92.8,441.3,3.6,0,100,0,30,27.425,5.475,46.85
20.85,80.338,656.5,9.9,14.7,91.5,441.35,4.2,813.9,100,0,0,28.238,2,46.3
22.013,77.487,890.5,167,15.4,89.5,431.5,4.3,1072,66.7,0,0,48.325,2.2875,47.7
22.062,76.45,842,160.1,16.8,82,448.7,4.8,805.9,66.7,0,0,53.55,1.925,43.05
21.837,73.425,603.5,258.9,17.1,78.7,429.1,6.1,1072.3,33.3,0,0,58.425,6.525,41.675
21.8,70.063,628,298.4,17.6,74.9,447.4,6.1,959.8,0,0,0,71.338,6.5625,39.825
22.475,68.5,591.5,245.8,18,70.8,443.2,5.2,1010.6,66.7,0,0,82.425,13.375,38.35
21.712,72.925,725.5,187.2,17.7,70.8,446.8,4.4,1032.8,33.3,0,0,53.425,13.375,41.45
22.813,71.075,738.5,233.1,17.8,72,460.3,5.2,1239.6,33.3,0,0,52.987,2.0875,39.85
22.087,75.375,941.5,110.5,17.6,75.1,451.1,5.5,1292.4,66.7,0,0,30.375,2.0625,42.3
22.2,76.125,966,60.2,17.6,76.3,457.2,5,1128.3,66.7,0,0,35.938,2.1125,42.775
21.713,75.412,1033.5,43.8,17.6,75.7,426.6,5.3,1068,66.7,0,0,35.438,2.05,39.15
21.175,77.5,898.5,2.1,17.1,78.1,428.4,4.6,323.6,66.7,0,0,31.563,2.0625,41.6
20.563,77.125,421,0.4,16,85.9,420.5,5.4,0,66.7,0,90,81.987,1.95,41.775
20.113,76.913,563,0.4,16.4,84,425.4,3.5,271,0,0,90,97.112,26.862,40
18.7,79.675,443.5,0.3,16.4,82.8,423.6,3.9,0,0,0,90,93.362,14.25,41.975
17.863,81.188,446,0.3,16.1,83.4,425.4,4.5,0,0,0,0,49.25,3.425,40.7
